Word,Freq,Rank
use,27,677
"line,",27,678
giving,27,679
"""he",27,680
flying,27,681
except,27,682
stands,27,683
eyeing,27,684
ancient,27,685
waves,27,686
none,27,687
form,27,688
wooden,27,689
"to,",27,690
i've,27,691
sideways,27,692
course,27,693
wholly,27,694
passage,27,695
act,26,696
according,26,697
enormous,26,698
previous,26,699
mass,26,700
killed,26,701
floating,26,702
across,26,703
creature,26,704
vessel,26,705
"things,",26,706
didn't,26,707
hoisted,26,708
generally,26,709
view,26,710
alone,26,711
queequeg's,26,712
air.,26,713
"gentlemen,",26,714
touch,26,715
"not,",26,716
tashtego,26,717
getting,26,718
lie,26,719
considerable,26,720
leaning,25,721
hung,25,722
seldom,25,723
royal,25,724
pointed,25,725
cutting,25,726
one.,25,727
somewhat,25,728
takes,25,729
home,25,730
fresh,25,731
pip,25,732
can't,25,733
"bed,",25,734
i'm,25,735
altogether,25,736
together,25,737
plain,25,738
"will,",25,739
rope,25,740
coffin,25,741
"light,",25,742
certainly,25,743
unless,25,744
middle,25,745
received,25,746
suppose,25,747
carry,25,748
strike,25,749
seated,25,750
hope,25,751
saying,25,752
carpenter,25,753
o,25,754
nature,24,755
skeleton,24,756
started,24,757
lance,24,758
man;,24,759
sails,24,760
bodily,24,761
queer,24,762
thirty,24,763
twenty,24,764
whales.,24,765
dutch,24,766
third,24,767
bearing,24,768
born,24,769
"life,",24,770
"seas,",24,771
instead,24,772
"god,",24,773
start,24,774
"mate,",24,775
thinking,24,776
thrown,24,777
feeling,23,778
watery,23,779
"over,",23,780
"peleg,",23,781
brow,23,782
similar,23,783
"""there",23,784
fact,23,785
strong,23,786
six,23,787
purpose,23,788
dropped,23,789
read,23,790
different,23,791
believe,23,792
sweet,23,793
manner,23,794
others,23,795
hour,23,796
kind,23,797
sharks,23,798
suspended,23,799
watch,23,800
bildad,23,801
followed,23,802
foot,23,803
"tail,",23,804
real,23,805
became,23,806
secret,23,807
bone,23,808
stop,23,809
mariners,22,810
thick,22,811
drop,22,812
steel,22,813
hast,22,814
late,22,815
talk,22,816
"off,",22,817
regular,22,818
easy,22,819
passing,22,820
pass,22,821
st.,22,822
ran,22,823
"short,",22,824
commanded,22,825
"mouth,",22,826
ahab;,22,827
lines,22,828
jet,22,829
free,22,830
visible,22,831
species,22,832
owing,22,833
gazing,22,834
kill,22,835
bows,22,836
air;,22,837
cold,22,838
"soul,",22,839
stubb's,22,840
"also,",22,841
glance,22,842
"leviathan,",22,843
ground,22,844
bulk,22,845
fiery,22,846
drew,22,847
fear,21,848
"leg,",21,849
"oil,",21,850
forty,21,851
remains,21,852
wonder,21,853
knows,21,854
"land,",21,855
"cabin,",21,856
fellow,21,857
power,21,858
eight,21,859
silent,21,860
darkness,21,861
miles,21,862
house,21,863
arms,21,864
thoughts,21,865
complete,21,866
smoke,21,867
looks,21,868
besides,21,869
"place,",21,870
mouth,21,871
again;,21,872
swift,21,873
heaven,21,874
doubt,21,875
grow,21,876
mast-head,21,877
filled,21,878
masts,21,879
"""it",21,880
learned,21,881
exactly,21,882
flew,21,883
beat,21,884
